MorganTianLib/Ch01/JunctionGeodesic.lean:290:0:'MorganTianLib.covDerivAlong_eq_zero_of_geodesic_slice' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch01/JunctionGeodesic.lean:291:0:'MorganTianLib.covDerivAlong_snd_eq_zero_of_geodesic_tline' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch01/JunctionGeodesic.lean:292:0:'MorganTianLib.covDerivAlong_snd_eq_zero_of_isGeodesic_tline' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch01/JunctionGeodesic.lean:293:0:'MorganTianLib.covDerivAlong_fst_eq_zero_of_geodesic_junction' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch01/JunctionGeodesic.lean:294:0:'MorganTianLib.covDerivAlong_fst_eq_zero_of_globalGeodesic_junction' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch01/ManifoldSmallRadiusNormalization.lean:92:0:'MorganTianLib.tendsto_riemannianMeasure_ball_ratio_nhdsGT_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch01/ManifoldSmallRadiusNormalization.lean:93:0:'MorganTianLib.tendsto_riemannianMeasure_ball_ratio_nhdsGT_zero_gpHaar' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch01/MeasureNormalization.lean:74:0:'MorganTianLib.expBallVolume_smul_measure' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch01/MeasureNormalization.lean:75:0:'MorganTianLib.modelBallVolume_smul_measure' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch01/MeasureNormalization.lean:76:0:'MorganTianLib.expBallVolume_ratio_smul_measure' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch01/MeasureNormalization.lean:77:0:'MorganTianLib.tendsto_expBallVolume_ratio_nhdsGT_zero_smul_measure' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch01/MinimalGeodesicNoConjugate.lean:470:0:'MorganTianLib.deriv_slice_snd_vec' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch01/MinimalGeodesicNoConjugate.lean:471:0:'MorganTianLib.frameFieldOf_eq_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch01/MinimalGeodesicNoConjugate.lean:472:0:'MorganTianLib.two_mul_pieceEnergy_eq_chartMetricInner' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch01/MinimalGeodesicNoConjugate.lean:473:0:'MorganTianLib.indexForm_nonneg_of_minimizing' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch01/MinimalGeodesicNoConjugate.lean:474:0:'MorganTianLib.not_isConjugatePointAt_of_minimizing' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch01/MinimalGeodesicUnique.lean:459:0:'MorganTianLib.dist_eq_speed_mul_of_minimizing' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch01/MinimalGeodesicUnique.lean:460:0:'MorganTianLib.concatAt_eqOn_left' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch01/MinimalGeodesicUnique.lean:461:0:'MorganTianLib.concatAt_eqOn_right' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch01/MinimalGeodesicUnique.lean:462:0:'MorganTianLib.eqOn_of_minimizing_geodesic_of_minimizing_geodesic' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch01/MinimalGeodesicUnique.lean:463:0:'MorganTianLib.minimalGeodesic_restrict_unique' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch01/MinimalGeodesicUnique.lean:464:0:'MorganTianLib.globalGeodesic_eqOn_of_minimizing' depends on axioms: [propext, Classical.choice, Quot.sound]
